,Base,C1'-C2',C1'-C2'-C3',C1'-C2'-O2',C1'-N1-C2/C1'-N9-C4,C1'-N1-C6/C1'-N9-C8,C1'-N1/C1'-N9,C1'-O4',C1'-O4'-C4',C2'-C1'-O4',C2'-C3',C2'-C3'-C4',C2'-C3'-O3',C2'-O2',C2-N1-C6/C4-N9-C8,C3'-C2'-O2',C3'-C4',C3'-C4'-C5',C3'-C4'-O4',C3'-O3',C4'-C3'-O3',C4'-C5',C4'-C5'-O5',C4'-O4',C5'-C4'-O4',C5'-O5',Chi,Chi_sign,Chi_syn,Conformation,Gamma,Gamma_clinical,Gamma_sign,Gamma_syn,N1-C1'-C2'/N9-C1'-C2',N1-C1'-O4'/N9-C1'-O4',N1-C2/N9-C4,N1-C6/N9-C8,Sugar,T1233,T1445,T144_N,T221_N,T2233,T2345,T321_N,T3345,T3455,T4122,T4322,T4433,T4455,TAU_0,TAU_1,TAU_2,TAU_3,TAU_4,TCHI,T_max,Temperature,Theta,absChi,absChiDiff90,absGamma,absGammaDiff90
ASADED_0,purine,1.52055,101.179,,129.43,124.819,1.44866,1.41992,108.669,106.024,1.51753,103.787,110.495,,105.312,,1.53247,116.211,106.229,1.43368,107.808,1.50828,113.264,1.45798,106.584,1.4163,syn,+,syn,C2'-endo,gauche+,C,+,S,115.473,108.438,1.39074,1.3771,deoxyribose,82.1179,129.422,-151.384,,,-99.6524,157.548,143.124,55.7218,,,-98.5411,-62.419,-26.8124,37.4607,-33.2166,18.683,4.90456,73.2896,37.93061085391042,198.0,154.24668495435083,73.2896,16.710400000000007,55.7218,34.2782
BAGVEK_1,purine,1.51247,103.689,,127.539,125.45,1.45335,1.41698,107.887,105.386,1.53528,103.833,113.741,,106.975,,1.53432,114.27,107.234,1.41245,107.599,1.49303,112.029,1.4382,108.112,1.42405,syn,+,syn,Other,trans,P,-,A,116.022,106.334,1.38245,1.37842,deoxyribose,98.4132,146.526,-158.7,,,-121.495,149.964,117.634,-173.306,,,-122.57,67.392,-35.0025,32.6457,-18.2323,-1.70027,22.8668,53.4063,35.48403610315133,223.0,122.0065732936809,53.4063,36.5937,173.306,83.30600000000001
CEZMEZ_6,purine,1.52724,105.87,,125.101,128.863,1.44864,1.43244,107.494,105.518,1.52684,103.434,111.914,,106.028,,1.53595,114.945,104.725,1.42989,111.314,1.51332,107.811,1.43419,106.364,1.42173,anti,-,anti,Other,gauche-,C,-,S,115.103,107.626,1.36635,1.37224,deoxyribose,128.342,159.618,-155.242,,,-143.642,131.784,96.0217,-71.3444,,,-147.649,173.267,-31.8605,13.2855,8.41538,-27.3129,37.5007,-117.934,36.947288879022715,295.0,76.53586812308217,117.934,27.933999999999997,71.3444,18.655600000000007
DEFPOT_8,purine,1.51487,103.234,,127.407,126.155,1.45769,1.43526,109.179,104.795,1.52095,103.019,109.008,,105.096,,1.53956,113.878,107.503,1.42285,111.577,1.50766,111.01,1.43119,108.816,1.4262,anti,-,anti,C2'-endo,trans,P,-,A,114.698,107.001,1.38035,1.38114,deoxyribose,89.6553,133.182,-150.421,,,-107.647,152.533,135.55,-170.667,,,-103.823,69.4447,-28.2355,35.5114,-28.956,12.9794,9.41205,-97.5776,35.5126768208601,295.0,146.46359858608002,97.5776,7.577600000000004,170.667,80.667
DEHREN_9,purine,1.5345,102.981,,126.25,126.758,1.46376,1.41303,110.578,107.467,1.52331,102.858,114.245,,106.306,,1.52677,116.121,104.628,1.41929,109.049,1.49655,110.542,1.4459,109.641,1.42154,anti,-,anti,C3'-endo,gauche+,C,+,S,114.402,107.707,1.39093,1.37041,deoxyribose,149.364,147.059,-125.284,,,-153.944,100.252,84.4272,46.8008,,,-154.582,-71.4715,-1.56542,-19.2774,31.3329,-32.9529,21.8691,-116.559,34.170487680271485,295.0,20.79308735263039,116.559,26.558999999999997,46.8008,43.1992
DEHREN01_10,purine,1.51847,102.184,,125.427,128.882,1.44071,1.42718,110.566,105.869,1.51249,102.54,111.315,,105.128,,1.52244,114.492,105.227,1.43131,107.01,1.50299,108.978,1.43644,109.887,1.42153,anti,-,anti,C2'-endo,trans,P,+,A,116.659,108.608,1.38236,1.37388,deoxyribose,77.7303,112.103,-137.845,,,-90.5633,151.24,152.214,177.934,,,-87.0289,59.7888,-11.8362,30.3147,-36.3783,30.1938,-11.633,-90.7074,37.033385500756445,295.0,179.83642519637743,90.7074,0.7074000000000069,177.934,87.934
DINYII10_11,purine,1.51282,99.7973,,124.529,129.529,1.449,1.40436,110.292,109.196,1.515,105.376,111.889,,105.601,,1.51509,115.181,104.075,1.42635,108.853,1.49112,109.025,1.43458,110.737,1.43447,syn,-,syn,C2'-endo,gauche+,C,+,S,114.619,108.29,1.37231,1.38375,deoxyribose,85.2113,111.533,-134.143,,,-92.122,147.628,147.715,55.3773,,,-90.869,-62.3558,-8.71721,25.9553,-32.9302,29.2944,-12.7977,-78.7063,33.79158340529826,295.0,183.96634389054628,78.7063,11.293700000000001,55.3773,34.6227
DTGUOS_15,purine,1.50184,101.778,,127.939,126.146,1.45808,1.40127,108.554,105.326,1.51618,102.569,112.836,,105.784,,1.52073,114.241,107.017,1.41302,107.688,1.51032,111.049,1.43906,108.493,1.42288,anti,-,anti,C2'-endo,trans,P,-,A,114.718,108.133,1.36476,1.37412,deoxyribose,83.1755,131.89,-152.75,,,-104.013,157.619,136.748,-174.404,,,-103.146,66.3188,-29.6581,38.841,-32.3967,16.0928,8.17148,-116.668,38.789787544091304,295.0,149.41022434178976,116.668,26.668000000000006,174.404,84.404
EBOYAY_16,purine,1.52167,100.528,,124.894,128.402,1.45575,1.42387,108.065,104.94,1.52673,103.734,105.999,,106.701,,1.52892,116.856,106.552,1.42739,111.596,1.50185,110.91,1.44969,107.797,1.43412,anti,-,anti,C2'-endo,gauche+,C,+,S,116.299,106.887,1.38563,1.39776,deoxyribose,84.8289,136.875,-156.579,,,-105.489,158.309,140.814,52.5529,,,-98.6621,-67.3094,-32.5084,40.4539,-32.8324,15.0351,10.6926,-127.102,40.543253988036,173.0,146.44298114873644,127.102,37.102000000000004,52.5529,37.4471
EHEDOK_17,purine,1.51654,100.869,,126.347,126.859,1.44638,1.42868,108.167,104.67,1.5253,102.47,112.63,,106.162,,1.53786,112.69,106.903,1.42718,108.56,1.5203,111.307,1.44141,107.83,1.42242,syn,-,syn,C2'-endo,gauche-,C,-,S,114.645,108.998,1.38978,1.36135,deoxyribose,81.4472,129.368,-154.196,,,-100.374,160.596,140.288,-62.9782,,,-101.423,179.278,-31.1023,41.2337,-35.0,17.9148,7.95159,-64.7305,41.35062910367654,100.0,150.53571690086133,64.7305,25.269499999999994,62.9782,27.0218
