cellulose1;cellulose2;traditional;new;public;private;player1;player2;medicine1;medicine2;drugBefore;drugAfter;pH15;pH100
36.21;40.75;11.501;6.3192;47.4914;104.073;7.6;7.5;4.3;2.3;15;14;6.55;6.78
19.65;32.24;9.4283;11.2518;36.2177;96.2273;7.81;7.9;2.2;4.2;4;4;5.98;6.14
26.60;29.02;7.85577;14.2581;59.4408;85.119;8.01;8.0;2.5;2.9;9;10;5.59;5.8
33.23;36.79;10.0401;9.19335;67.5517;86.9059;7.95;7.17;5.0;1.8;9;8;6.17;5.91
37.38;26.83;11.1933;9.87104;56.0187;68.3697;7.15;7.28;4.8;2.4;10;10;5.92;6.1
33.38;33.17;10.8823;10.6882;69.2786;56.3417;8.06;7.35;3.1;1.3;10;9;6.18;6.01
26.56;34.78;10.0076;7.91442;60.1819;50.0869;7.9;7.73;3.0;1.2;12;10;6.43;8.18
26.94;36.39;8.95976;11.236;70.6493;76.0635;7.91;7.2;5.9;6.0;17;15;5.68;5.88
;19.48;13.1579;10.1684;68.6899;63.9101;7.56;7.98;5.2;5.2;14;14;;
;39.24;8.6757;11.3468;67.8221;40.22;7.62;;2.9;4.3;;;;
;32.87;;12.2819;57.1039;57.4293;7.85;;;3.9;;;;
;37.58;;;;92.4831;8.02;;;2.4;;;;
;33.39;;;;78.7868;;;;4.3;;;;
;50.07;;;;60.8364;;;;2.5;;;;
;37.42;;;;52.5543;;;;1.0;;;;
;43.35;;;;80.1982;;;;;;;;
;38.77;;;;;;;;;;;;
;41.64;;;;;;;;;;;;
;21.88;;;;;;;;;;;;
;53.30;;;;;;;;;;;;
;19.86;;;;;;;;;;;;
